,hex1_id,hex2_id,bin_depth,x,y,z,roi
22766,19,12,20,20178.120576563968,37628.44129515876,38964.18105803004,LOP_R
22767,19,12,21,20181.015131229324,37615.07654456868,39037.92622772141,LOP_R
22768,19,12,22,20186.9853853319,37601.62126149975,39111.68202335601,LOP_R
22769,19,12,23,20192.460162769534,37588.131613404184,39185.44753943028,LOP_R
22770,19,12,24,20196.38278144003,37574.66376773422,39259.22187044065,LOP_R
22771,19,12,25,20200.41703242796,37561.27389194208,39333.004110883565,LOP_R
22772,19,12,26,20205.427353528612,37548.01815347997,39406.79335525546,LOP_R
22773,19,12,27,20209.11210652753,37534.95271980011,39480.58869805278,LOP_R
22774,19,12,28,20212.96402034612,37522.13375835473,39554.38923377195,LOP_R
22775,19,12,29,20216.998275753434,37509.573899401075,39628.194056909415,LOP_R
22776,19,12,30,20222.91796622321,37497.095307013326,39702.0022619616,LOP_R
22777,19,12,31,20228.84071933855,37484.67435906753,39775.812943424964,LOP_R
22778,19,12,32,20233.595735095954,37472.31407817187,39849.62519579595,LOP_R
22779,19,12,33,20238.746487801112,37459.16022645354,39923.438113570955,LOP_R
22780,19,12,34,20244.674859709325,37444.808684267264,39997.25079124646,LOP_R
22781,19,12,35,20250.974129926683,37430.233030305455,40071.06328751529,LOP_R
22782,19,12,36,20256.17383584133,37415.43528566529,40144.88025432049,LOP_R
22783,19,12,37,20259.963014907004,37402.39008660978,40218.70237607219,LOP_R
22784,19,12,38,20263.712453865573,37389.6086030016,40292.52958212212,LOP_R
22785,19,12,39,20267.420826009078,37376.90013836858,40366.361801822,LOP_R
22786,19,12,40,20271.08680462955,37364.251887225604,40440.19896452356,LOP_R
22787,19,12,41,20274.70906301904,37351.666676156834,40514.04099957853,LOP_R
22788,19,12,42,20278.286274469578,37339.147493354285,40587.88783633863,LOP_R
22789,19,12,43,20281.8171122732,37326.6904973017,40661.73940415559,LOP_R
22790,19,12,44,20286.3676780781,37314.29184648284,40735.59563238113,LOP_R
22791,19,12,45,20291.606347687204,37301.94769938147,40809.456450367,LOP_R
22792,19,12,46,20296.926634508938,37289.654214481336,40883.3217874649,LOP_R
22793,19,12,47,20302.32939651933,37277.407550266194,40957.19157302657,LOP_R
22794,19,12,48,20307.815491694422,37265.20386521982,41031.06573640374,LOP_R
22795,19,12,49,20313.38577801025,37253.03931782594,41104.944206948116,LOP_R
22796,19,12,50,20319.041113442847,37243.344066373604,41178.82691401145,LOP_R
22797,19,13,0,20094.511182569684,37034.994845181776,37380.99192706515,LOP_R
22798,19,13,1,20097.3951686436,37022.17348629515,37455.9604859357,LOP_R
22799,19,13,2,20100.244106624574,37009.38498189015,37530.919736435586,LOP_R
22800,19,13,3,20102.784345948883,36996.630023465426,37605.869848321665,LOP_R
22801,19,13,4,20105.686152864822,36983.90930251965,37680.8109913508,LOP_R
22802,19,13,5,20108.20391840267,36971.22351055147,37755.74333527988,LOP_R
22803,19,13,6,20110.578963579806,36957.78124420011,37830.66704986575,LOP_R
22804,19,13,7,20113.44749115487,36943.68745613219,37905.582304865275,LOP_R
22805,19,13,8,20116.29926874338,36931.531148371825,37980.48927003533,LOP_R
22806,19,13,9,20119.107597521088,36919.65873987464,38055.388115132766,LOP_R
22807,19,13,10,20121.85196311679,36907.988251403636,38130.37721716069,LOP_R
22808,19,13,11,20124.59160703197,36895.12681740626,38205.43321358809,LOP_R
22809,19,13,12,20126.76243624699,36882.23942639899,38280.52177207368,LOP_R
22810,19,13,13,20129.304805011783,36869.32689706658,38355.63783099072,LOP_R
22811,19,13,14,20133.0583064832,36856.39004809383,38430.774012656235,LOP_R
22812,19,13,15,20136.98930934907,36843.429698165484,38505.92951133497,LOP_R
22813,19,13,16,20141.07875759828,36830.446665966345,38580.974396872705,LOP_R
22814,19,13,17,20146.23368209844,36817.4417701812,38656.000455341484,LOP_R
22815,19,13,18,20151.935901681252,36804.41582949479,38731.01898084449,LOP_R
22816,19,13,19,20157.947588780764,36791.35679130636,38806.026619024444,LOP_R
22817,19,13,20,20164.22358574308,36778.138740647344,38881.020015524045,LOP_R
22818,19,13,21,20170.718734914295,36764.77399005726,38956.00406821917,LOP_R
22819,19,13,22,20174.19552156091,36751.318706988335,39030.91376348963,LOP_R
22820,19,13,23,20176.91252049005,36737.82905889277,39105.79012070623,LOP_R
22821,19,13,24,20179.62438087393,36724.36121322281,39180.652629541924,LOP_R
22822,19,13,25,20183.50521475428,36710.97133743067,39255.50068210411,LOP_R
22823,19,13,26,20189.210658188244,36697.715598968556,39330.33367050018,LOP_R
22824,19,13,27,20195.040029589247,36684.650165288695,39405.150986837536,LOP_R
22825,19,13,28,20201.001899688035,36671.831203843314,39479.95324899837,LOP_R
22826,19,13,29,20207.09559937282,36659.27134488966,39554.742419918,LOP_R
22827,19,13,30,20211.518137605886,36646.79275250191,39629.51816368789,LOP_R
22828,19,13,31,20215.70425372183,36634.37180455612,39704.28007648585,LOP_R
22829,19,13,32,20219.959975385907,36622.011523660454,39779.027754489616,LOP_R
22830,19,13,33,20224.286160574175,36609.71493242316,39853.76197931296,LOP_R
22831,19,13,34,20228.683667262645,36597.485053452445,39928.484172313074,LOP_R
22832,19,13,35,20233.15335342737,36585.32490935653,40003.339248300035,LOP_R
22833,19,13,36,20237.696077044373,36573.23752274364,40078.16988242094,LOP_R
22834,19,13,37,20242.312696089695,36561.22591622196,40152.88376410721,LOP_R
22835,19,13,38,20247.00406853937,36549.29311239975,40227.58859090379,LOP_R
22836,19,13,39,20251.771052369422,36537.44213388519,40302.226949951255,LOP_R
22837,19,13,40,20256.6145055559,36525.67600328652,40376.6624737612,LOP_R
22838,19,13,41,20261.535286074835,36513.99774321194,40451.06992722409,LOP_R
22839,19,13,42,20266.53425190226,36502.32374475105,40525.44887672409,LOP_R
22840,19,13,43,20271.61226101421,36488.859525870335,40599.79888864537,LOP_R
22841,19,13,44,20275.702743030557,36475.3346570077,40674.11952937207,LOP_R
22842,19,13,45,20279.136853416465,36461.751454549754,40748.41036528835,LOP_R
22843,19,13,46,20282.52061003157,36448.11223488313,40822.67096277839,LOP_R
22844,19,13,47,20285.852686167917,36434.41931439443,40896.90088822634,LOP_R
22845,19,13,48,20289.131755117538,36420.6750094703,40971.099708016365,LOP_R
22846,19,13,49,20292.356490172475,36406.881636497346,41045.266988532625,LOP_R
22847,19,13,50,20295.52556462476,36401.35152318647,41119.40229615927,LOP_R
22848,19,14,0,20359.01548803771,36654.39927323581,37443.649378461814,LOP_R
22849,19,14,1,20360.401180299184,36641.84243700019,37518.61793733236,LOP_R
22850,19,14,2,20361.78499387122,36629.2514569069,37593.57718783225,LOP_R
22851,19,14,3,20361.604124009104,36616.62715164072,37668.52729971833,LOP_R
22852,19,14,4,20362.939254089346,36603.97033988642,37743.468442747464,LOP_R
22853,19,14,5,20364.476018009984,36590.985836227075,37818.400786676546,LOP_R
22854,19,14,6,20366.193720648313,36577.18567225414,37893.32450126241,LOP_R
22855,19,14,7,20368.071666881628,36563.09188418622,37968.23975626194,LOP_R
22856,19,14,8,20370.08916158723,36550.93557642586,38043.14672143199,LOP_R
22857,19,14,9,20372.225509642427,36539.063167928674,38118.04556652943,LOP_R
22858,19,14,10,20374.485021741395,36527.39267945767,38193.03466855735,LOP_R
22859,19,14,11,20377.017494274696,36514.53124546029,38268.09066498475,LOP_R
22860,19,14,12,20379.64271688079,36501.643854453025,38343.17922347034,LOP_R
22861,19,14,13,20381.47286784284,36488.731325120614,38418.295282387386,LOP_R
22862,19,14,14,20383.277247320562,36475.794476147865,38493.4314640529,LOP_R
22863,19,14,15,20385.04666641703,36462.83412621952,38568.586962731635,LOP_R
22864,19,14,16,20385.75098465894,36449.85109402038,38643.63184826937,LOP_R
22865,19,14,17,20386.28621772887,36436.84619823523,38718.657906738146,LOP_R
22866,19,14,18,20386.720240335657,36423.820257548825,38793.676432241155,LOP_R
22867,19,14,19,20387.057619411506,36410.76121936039,38868.684070421106,LOP_R
22868,19,14,20,20387.318051746468,36397.54316870138,38943.67746692071,LOP_R
22869,19,14,21,20387.56621851477,36384.178418111296,39018.66151961583,LOP_R
22870,19,14,22,20387.817741209394,36370.72313504237,39093.571214886295,LOP_R
22871,19,14,23,20388.082743560168,36357.2334869468,39168.447572102894,LOP_R
22872,19,14,24,20388.37134929693,36343.76564127684,39243.31008093859,LOP_R
22873,19,14,25,20388.693682149504,36330.3757654847,39318.15813350077,LOP_R
22874,19,14,26,20389.059865847717,36317.12002702259,39392.99112189684,LOP_R
22875,19,14,27,20391.475155773554,36304.05459334273,39467.8084382342,LOP_R
22876,19,14,28,20394.805202344985,36291.23563189735,39542.61070039503,LOP_R
22877,19,14,29,20398.366293892148,36278.675772943694,39617.399871314665,LOP_R
22878,19,14,30,20402.09532491686,36266.197180555944,39692.175615084554,LOP_R
22879,19,14,31,20405.92918992094,36253.77623261015,39766.93752788251,LOP_R
22880,19,14,32,20409.80478340621,36241.41595171449,39841.75737067597,LOP_R
22881,19,14,33,20413.70860859115,36229.11936047719,39916.72343671074,LOP_R
22882,19,14,34,20417.79196776288,36216.88948150648,39991.68946211945,LOP_R
22883,19,14,35,20422.06662923498,36204.729337410565,40066.65546599806,LOP_R
22884,19,14,36,20426.527290351994,36192.641950797675,40141.41374399415,LOP_R
22885,19,14,37,20431.16864845848,36180.630344275996,40215.930877150226,LOP_R
22886,19,14,38,20435.985400898986,36168.69754045378,40290.42124080676,LOP_R
22887,19,14,39,20440.97224501807,36156.84656193922,40364.88440134792,LOP_R
22888,19,14,40,20446.123878160288,36145.08043134055,40439.31992515786,LOP_R
22889,19,14,41,20451.434997670185,36133.402171265974,40513.72737862075,LOP_R
22890,19,14,42,20456.90030089232,36121.81480432372,40588.10632812075,LOP_R
22891,19,14,43,20462.51448517125,36110.32135312199,40662.45634004203,LOP_R
22892,19,14,44,20468.272247851524,36098.924840269014,40736.77698076873,LOP_R
22893,19,14,45,20474.168286277694,36087.628288373,40811.06781668501,LOP_R
22894,19,14,46,20480.197297794315,36076.434720042176,40885.328414175056,LOP_R
22895,19,14,47,20486.353979745938,36065.34715788475,40959.558339623,LOP_R
22896,19,14,48,20492.633029477125,36054.36862450895,41033.75715941303,LOP_R
22897,19,14,49,20499.029144332417,36041.6939108387,41107.92443992929,LOP_R
22898,19,14,50,20505.537021656382,36028.4176908533,41182.05974755593,LOP_R
22899,19,15,0,20356.892151310414,36104.6162415993,37432.49102324637,LOP_R
22900,19,15,1,20358.27784357189,36093.62771938287,37507.45287269235,LOP_R
22901,19,15,2,20359.661657143926,36082.55048367852,37582.40094933907,LOP_R
22902,19,15,3,20359.48078728181,36071.386638269505,37657.335384811515,LOP_R
22903,19,15,4,20360.81591736205,36060.13828693908,37732.256310734694,LOP_R
22904,19,15,5,20362.35268128269,36048.80753347047,37807.1833837746,LOP_R
22905,19,15,6,20364.07038392102,36037.396481646945,37882.106914656026,LOP_R
22906,19,15,7,20365.948330154333,36025.90723525175,37957.02566814756,LOP_R
22907,19,15,8,20367.965824859937,36014.046558135495,38031.93973125701,LOP_R
22908,19,15,9,20370.102172915133,36001.74550075379,38106.84919099214,LOP_R
22909,19,15,10,20372.3616850141,35989.22768695891,38181.7781060957,LOP_R
22910,19,15,11,20374.894157547402,35976.493412956865,38256.66122031852,LOP_R
22911,19,15,12,20377.519380153495,35963.542974953576,38331.53672373933,LOP_R
22912,19,15,13,20379.349531115546,35950.42699068845,38406.404786115,LOP_R
22913,19,15,14,20381.153910593268,35938.71353601029,38481.265577202386,LOP_R
22914,19,15,15,20382.923329689736,35927.020356014385,38556.11926675835,LOP_R
22915,19,15,16,20383.627647931644,35915.3472982963,38630.966024539775,LOP_R
22916,19,15,17,20384.162881001575,35905.10480603756,38705.83348477687,LOP_R
22917,19,15,18,20384.596903608362,35895.623276465936,38780.73825238445,LOP_R
22918,19,15,19,20384.93428268421,35884.694480789934,38855.641683518064,LOP_R
22919,19,15,20,20385.194715019174,35873.27754889171,38930.54353600904,LOP_R
22920,19,15,21,20385.442881787476,35861.87174149104,39005.44416754905,LOP_R
22921,19,15,22,20385.6944044821,35850.500542561116,39080.346198029496,LOP_R
22922,19,15,23,20385.959406832873,35839.160762414955,39155.24814149545,LOP_R
22923,19,15,24,20386.248012569635,35827.844603092286,39230.147838231824,LOP_R
22924,19,15,25,20386.57034542221,35816.544266632816,39305.043128523495,LOP_R
22925,19,15,26,20386.936529120423,35805.25195507626,39379.93185265537,LOP_R
22926,19,15,27,20389.35181904626,35793.95987046233,39454.81185091234,LOP_R
22927,19,15,28,20392.68186561769,35782.66021483072,39529.680963579296,LOP_R
22928,19,15,29,20396.242957164854,35771.345190221175,39604.53703094113,LOP_R
22929,19,15,30,20399.971988189565,35760.0069986734,39679.37789328275,LOP_R
22930,19,15,31,20403.805853193644,35748.6378422271,39754.20139088903,LOP_R
22931,19,15,32,20407.681446678915,35736.82857200442,39829.00536404489,LOP_R
22932,19,15,33,20411.585271863856,35723.705788166946,39903.79109506883,LOP_R
22933,19,15,34,20415.668631035587,35711.74625439631,39978.56756561422,LOP_R
22934,19,15,35,20419.943292507687,35700.287186089605,40053.33538511522,LOP_R
22935,19,15,36,20424.4039536247,35688.67378982464,40127.99050090634,LOP_R
22936,19,15,37,20429.045311731184,35676.88267912875,40202.516003019526,LOP_R
22937,19,15,38,20433.86206417169,35664.890467529214,40277.01887863571,LOP_R
22938,19,15,39,20438.848908290776,35652.6738182029,40351.498710457694,LOP_R
22939,19,15,40,20444.000541432993,35640.232732374636,40425.955081188244,LOP_R
22940,19,15,41,20449.31166094289,35627.58657680441,40500.38757353013,LOP_R
22941,19,15,42,20454.776964165027,35614.7460892423,40574.79577018615,LOP_R
22942,19,15,43,20460.391148443956,35601.72200743838,40649.17925385909,LOP_R
